,Case Number,Type,Country,Gender,Fatality
3187,1970.00.00.d,Unprovoked,IRAQ,F,N
3188,1970.00.00.c,Unprovoked,IRAQ,F,N
3189,1970.00.00.b,Unprovoked,IRAQ,M,Y
3190,1970.00.00.a,Unprovoked,IRAQ,M,N
3191,1969.11.30,Unprovoked,AUSTRALIA,M,N
3192,1969.11.11,Unprovoked,USA,M,N
3193,1969.11.05,Provoked,AUSTRALIA,M,N
3194,1969.10.14,Unprovoked,USA,M,N
3195,1969.09.06,Unprovoked,USA,M,N
3196,1969.08.29,Unprovoked,USA,M,N
3197,1969.08.22,Provoked,USA,M,N
3198,1969.08.02,Unprovoked,USA,M,N
3199,1969.08.01,Unprovoked,USA,M,N
3200,1969.08.00,Unprovoked,NAN,M,N
3201,1969.07.27,Provoked,ENGLAND,M,N
3202,1969.07.22,Provoked,USA,M,N
3203,1969.07.20,Unprovoked,USA,M,N
3204,1969.06.27,Unprovoked,USA,M,Unknown
3205,1969.06.12,Unprovoked,JAMAICA,M,N
3206,1969.06.00,Unprovoked,USA,M,N
3207,1969.05.25,Provoked,USA,M,N
3208,1969.05.24,Provoked,USA,M,N
3209,1969.05.22,Unprovoked,DOMINICAN REPUBLIC,M,Unknown
3210,1969.05.14,Unprovoked,AUSTRALIA,Unknown,N
3211,1969.04.22,Invalid,AUSTRALIA,M,N
3212,1969.04.19,Provoked,USA,M,N
3213,1969.03.25,Provoked,AUSTRALIA,M,N
3214,1969.03.09,Unprovoked,USA,M,N
3215,1969.02.17.R,Provoked,AUSTRALIA,M,N
3216,1969.02.00,Invalid,AUSTRALIA,M,Unknown
3217,1969.01.27,Unprovoked,AUSTRALIA,M,N
3218,1969.01.00,Unprovoked,AUSTRALIA,M,N
3219,1969.00.00,Provoked,BAHAMAS,Unknown,N
3220,1968.12.29,Invalid,SOUTH AFRICA,M,N
3221,1968.12.26,Provoked,AUSTRALIA,M,N
3222,1968.12.25,Unprovoked,NEW ZEALAND,M,N
3223,1968.12.09,Unprovoked,AUSTRALIA,M,N
3224,1968.12.02,Unprovoked,SOUTH AFRICA,M,N
3225,1968.12.00,Invalid,SOUTH AFRICA,M,N
3226,1968.11.06,Boat,SOUTH AFRICA,M,N
3227,1968.11.02,Provoked,AUSTRALIA,M,N
3228,1968.10.29,Provoked,BAHAMAS,M,N
3229,1968.10.13,Unprovoked,USA,M,N
3230,1968.10.10,Sea Disaster,PHILIPPINES,Unknown,N
3231,1968.09.22,Invalid,USA,Unknown,Unknown
3232,1968.09.15,Unprovoked,NEW ZEALAND,M,Y
3233,1968.08.24,Unprovoked,USA,Unknown,N
3234,1968.08.21,Unprovoked,USA,M,N
3235,1968.08.13,Unprovoked,FRENCH POLYNESIA,M,N
3236,1968.08.11,Unprovoked,MALAYSIA,Unknown,N
3237,1968.08.08,Unprovoked,COLUMBIA,M,N
3238,1968.07.27,Unprovoked,USA,M,N
3239,1968.07.23,Unprovoked,USA,M,N
3240,1968.07.16,Unprovoked,USA,M,N
3241,1968.07.10,Unprovoked,BAHAMAS,M,Y
3242,1968.07.00,Invalid,MEXICO,M,N
3243,1968.06.25,Unprovoked,BAHAMAS,M,N
3244,1968.06.09,Unprovoked,USA,M,N
3245,1968.06.00,Unprovoked,ENGLAND,M,N
3246,1968.05.18,Invalid,TANZANIA,Unknown,Y
3247,1968.05.00,Unprovoked,PAPUA NEW GUINEA,M,N
3248,1968.04.29,Invalid,USA,M,N
3249,1968.04.20,Unprovoked,USA,M,N
3250,1968.04.15,Unprovoked,AUSTRALIA,M,N
3251,1968.04.11.R,Unprovoked,PAPUA NEW GUINEA,M,Y
3252,1968.04.07,Provoked,AUSTRALIA,M,N
3253,1968.03.25,Unprovoked,SOUTH AFRICA,M,N
3254,1968.03.10,Unprovoked,USA,M,N
3255,1968.03.00,Invalid,USA,M,N
3256,1968.02.26,Unprovoked,USA,M,N
3257,1968.02.20,Unprovoked,AUSTRALIA,F,N
3258,1968.02.18,Provoked,NEW ZEALAND,F,N
3259,1968.02.04,Unprovoked,AUSTRALIA,M,N
3260,1968.02.02,Unprovoked,AUSTRALIA,Unknown,N
3261,1968.02.00,Unprovoked,MOZAMBIQUE,Unknown,N
3262,1968.01.17,Unprovoked,PAPUA NEW GUINEA,Unknown,Y
3263,1968.00.00.c,Unprovoked,COSTA RICA,M,Y
3264,1968.00.00.b,Invalid,USA,Unknown,N
3265,1968.00.00.a,Invalid,USA,Unknown,Unknown
3266,1967.12.30,Unprovoked,SOUTH AFRICA,M,N
